id;area;master_area
10601007;QUIMICA ORGANICA;10600000
10601015;ESTRUTURA CONFORMACAO E ESTEREOQUIMICA;10600000
10601023;SINTESE ORGANICA;10600000
10601031;FISICO-QUIMICA ORGANICA;10600000
10601040;FOTOQUIMICA ORGANICA;10600000
10601058;QUIMICA DOS PRODUTOS NATURAIS;10600000
10601066;EVOLUCAO SISTEMATICA E ECOLOGIA QUIMICA;10600000
10601074;POLIMEROS E COLOIDES;10600000
10602003;QUIMICA INORGANICA;10600000
10602011;CAMPOS DE COORDENACAO;10600000
10602020;NAO-METAIS E SEUS COMPOSTOS;10600000
10602038;COMPOSTOS ORGANO-METALICOS;10600000
10602046;DETERMINACAO DE ESTRUTURAS DE COMPOSTOS INORGANICOS;10600000
10602054;FOTO-QUIMICA INORGANICA;10600000
10602062;FISICO QUIMICA INORGANICA;10600000
10602070;QUIMICA BIO-INORGANICA;10600000
10603000;FISICO-QUIMICA;10600000
10603018;CINETICA QUIMICA E CATALISE;10600000
10603026;ELETROQUIMICA;10600000
10603034;ESPECTROSCOPIA;10600000
10603042;QUIMICA DE INTERFACES;10600000
10603050;QUIMICA DO ESTADO CONDENSADO;10600000
10603069;QUIMICA NUCLEAR E RADIOQUIMICA;10600000
10603077;QUIMICA TEORICA;10600000
10603085;TERMODINAMICA QUIMICA;10600000
10604006;QUIMICA ANALITICA;10600000
10604014;SEPARACAO;10600000
10604022;METODOS OTICOS DE ANALISE;10600000
10604030;ELETROANALITICA;10600000
10604049;GRAVIMETRIA;10600000
10604057;TITIMETRIA;10600000
10604065;INSTRUMENTACAO ANALITICA;10600000
10604073;ANALISE DE TRACOS E QUIMICA AMBIENTAL;10600000
10700005;GEOCIENCIAS;10000003
10701001;GEOLOGIA;10700005
10701010;MINERALOGIA;10700005
10701028;PETROLOGIA;10700005
10701036;GEOQUIMICA;10700005
10701044;GEOLOGIA REGIONAL;10700005
10701052;GEOTECTONICA;10700005
10701060;GEOCRONOLOGIA;10700005
10701079;CARTOGRAFIA GEOLOGICA;10700005
10701087;METALOGENIA;10700005
10701095;HIDROGEOLOGIA;10700005
10701109;PROSPECCAO MINERAL;10700005
10701117;SEDIMENTOLOGIA;10700005
10701125;PALEONTOLOGIA ESTRATIGRAFICA;10700005
10701133;ESTRATIGRAFIA;10700005
10701141;GEOLOGIA AMBIENTAL;10700005
10702008;GEOFISICA;10700005
10702016;GEOMAGNETISMO;10700005
10702024;SISMOLOGIA;10700005
10702032;GEOTERMIA E FLUXO TERMICO;10700005
10702040;PROPRIEDADES FISICAS DAS ROCHAS;10700005
10702059;GEOFISICA NUCLEAR;10700005
10702067;SENSORIAMENTO REMOTO;10700005
10702075;AERONOMIA;10700005
10702083;DESENVOLVIMENTO DE INSTRUMENTACAO GEOFISICA;10700005
10702091;GEOFISICA APLICADA;10700005
10702105;GRAVIMETRIA;10700005
10703004;METEOROLOGIA;10700005
10703012;METEOROLOGIA DINAMICA;10700005
10703020;METEOROLOGIA SINOTICA;10700005
10703039;METEOROLOGIA FISICA;10700005
10703047;QUIMICA DA ATMOSFERA;10700005
10703055;INSTRUMENTACAO METEOROLOGICA;10700005
10703063;CLIMATOLOGIA;10700005
10703071;MICROMETEOROLOGIA;10700005
10703080;SENSORIAMENTO REMOTO DA ATMOSFERA;10700005
10703098;METEOROLOGIA APLICADA;10700005
10704000;GEODESIA;10700005
10704019;GEODESIA FISICA;10700005
10704027;GEODESIA GEOMETRICA;10700005
10704035;GEODESIA CELESTE;10700005
10704043;FOTOGRAMETRIA;10700005
10704051;CARTOGRAFIA BASICA;10700005
10705007;GEOGRAFIA FISICA;10700005
10705015;GEOMORFOLOGIA;10700005
10705023;CLIMATOLOGIA GEOGRAFICA;10700005
10705031;PEDOLOGIA;10700005
10705040;HIDROGEOGRAFIA;10700005
10705058;GEOECOLOGIA;10700005
10705066;FOTOGEOGRAFIA (FISICO-ECOLOGICA);10700005
10705074;GEOCARTOGRAFIA;10700005
10802002;OCEANOGRAFIA FISICA;10700005
10802010;VARIAVEIS FISICAS DA AGUA DO MAR;10700005
10802029;MOVIMENTO DA AGUA DO MAR;10700005
10802037;ORIGEM DAS MASSAS DE AGUA;10700005
10802045;INTERACAO DO OCEANO COM O LEITO DO MAR;10700005
10802053;INTERACAO DO OCEANO COM A ATMOSFERA;10700005
10803009;OCEANOGRAFIA QUIMICA;10700005
10803017;PROPRIEDADES QUIMICAS DA AGUA DO MAR;10700005
10803025;INTER.QUIM.-BIOL./GEOL.DAS SUBST. QUIM.DA AGUA DO MAR;10700005
10804005;OCEANOGRAFIA GEOLOGICA;10700005
10804013;GEOMORFOLOGIA SUBMARINA;10700005
10804021;SEDIMENTOLOGIA MARINHA;10700005
10804030;GEOFISICA MARINHA;10700005
10804048;GEOQUIMICA MARINHA;10700005
20000006;CIENCIAS BIOLOGICAS;10000003
20100000;BIOLOGIA GERAL;20000006
20200005;GENETICA;20000006
20201001;GENETICA QUANTITATIVA;20200005
20202008;GENETICA MOLECULAR E DE MICROORGANISMOS;20200005
20203004;GENETICA VEGETAL;20200005
20204000;GENETICA ANIMAL;20200005
20205007;GENETICA HUMANA E MEDICA;20200005
20206003;MUTAGENESE;20200005
20600003;MORFOLOGIA;20000006
20601000;CITOLOGIA E BIOLOGIA CELULAR;20600003
20602006;EMBRIOLOGIA;20600003
20603002;HISTOLOGIA;20600003
20604009;ANATOMIA;20600003
20604017;ANATOMIA HUMANA;20600003
20604025;ANATOMIA ANIMAL;20600003
20700008;FISIOLOGIA;20000006
20701004;FISIOLOGIA GERAL;20700008
20702000;FISIOLOGIA DOS ORGAOS E SISTEMAS;20700008
20702019;NEUROFISIOLOGIA;20700008
20702027;FISIOLOGIA CARDIOVASCULAR;20700008
20702035;FISIOLOGIA DA RESPIRACAO;20700008
20702043;FISIOLOGIA RENAL;20700008
20702051;FISIOLOGIA ENDOCRINA;20700008
20702060;FISIOLOGIA DA DIGESTAO;20700008
20702078;CINESIOLOGIA;20700008
20703007;FISIOLOGIA DO ESFORCO;20700008
20704003;FISIOLOGIA COMPARADA;20700008
20800002;BIOQUIMICA;20000006
20801009;QUIMICA DE MACROMOLECULAS;20800002
20801017;PROTEINAS;20800002
20801025;LIPIDEOS;20800002
20801033;GLICIDEOS;20800002
20802005;BIOQUIMICA DOS MICROORGANISMOS;20800002
20803001;METABOLISMO E BIOENERGETICA;20800002
20804008;BIOLOGIA MOLECULAR;20800002
20805004;ENZIMOLOGIA;20800002
20900007;BIOFISICA;20000006
20901003;BIOFISICA MOLECULAR;20900007
20902000;BIOFISICA CELULAR;20900007
20903006;BIOFISICA DE PROCESSOS E SISTEMAS;20900007
20904002;RADIOLOGIA E FOTOBIOLOGIA;20900007
21000000;FARMACOLOGIA;20000006
21001006;FARMACOLOGIA GERAL;21000000
21001014;FARMACOCINETICA;21000000
21001022;BIODISPONIBILIDADE;21000000
21002002;FARMACOLOGIA AUTONOMICA;21000000
21003009;NEUROPSICOFARMACOLOGIA;21000000
21004005;FARMACOLOGIA CARDIORENAL;21000000
21005001;FARMACOLOGIA BIOQUIMICA E MOLECULAR;21000000
21006008;ETNOFARMACOLOGIA;21000000
21007004;TOXICOLOGIA;21000000
21008000;FARMACOLOGIA CLINICA;21000000
21100004;IMUNOLOGIA;20000006
21101000;IMUNOQUIMICA;21100004
21102007;IMUNOLOGIA CELULAR;21100004
21103003;IMUNOGENETICA;21100004
21104000;IMUNOLOGIA APLICADA;21100004
21200009;MICROBIOLOGIA;20000006
21201005;BIOLOGIA E FISIOLOGIA DOS MICROORGANISMOS;21200009
21201013;VIROLOGIA;21200009
21201021;BACTERIOLOGIA;21200009
21201030;MICOLOGIA;21200009
21202001;MICROBIOLOGIA APLICADA;21200009
21202010;MICROBIOLOGIA MEDICA;21200009
21202028;MICROBIOLOGIA INDUSTRIAL E DE FERMENTACAO;21200009
21300003;PARASITOLOGIA;20000006
21301000;PROTOZOOLOGIA DE PARASITOS;21300003
21301018;PROTOZOOLOGIA PARASITARIA HUMANA;21300003
21301026;PROTOZOOLOGIA PARASITARIA ANIMAL;21300003
21302006;HELMINTOLOGIA DE PARASITOS;21300003
21302014;HELMINTOLOGIA HUMANA;21300003
21302022;HELMINTOLOGIA ANIMAL;21300003
21303002;ENTOMOLOGIA E MALACOLOGIA DE PARASITOS E VETORES;21300003
